ip.proto,frame.len,src_ip,dst_ip,c2_label,is_SYN,is_ACK,is_RST,is_FIN,is_PSH,is_URG,time_since_last,delta_t_ratio,rolling_mean_delta_t_3,rolling_std_delta_t_3,rolling_mean_delta_t_5,rolling_std_delta_t_5,rolling_mean_delta_t_10,rolling_std_delta_t_10
6,66,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,66,1,0,1,1,1,0,0,0,0,0.000653,1.0,0.0003265,0.00046174072811481555,0.0003265,0.00046174072811481555,0.0003265,0.00046174072811481555
6,54,0,1,1,0,1,0,0,0,0,3.799999999999995e-05,0.05819295558958644,0.00023033333333333334,0.00036653285437097363,0.00023033333333333334,0.00036653285437097363,0.00023033333333333334,0.00036653285437097363
6,212,0,1,1,0,1,0,0,1,0,0.002863,75.342105263158,0.0011846666666666666,0.0014856508113730272,0.0008885,0.0013499250596483742,0.0008885,0.0013499250596483742
6,60,1,0,1,0,1,0,0,0,0,0.000245,0.08557457212713936,0.0010486666666666667,0.0015746638794781995,0.0007597999999999999,0.0012039691441228881,0.0007597999999999999,0.0012039691441228881
6,1499,1,0,1,0,1,0,0,1,0,0.0018670000000000002,7.620408163265307,0.0016583333333333335,0.0013214148982561586,0.0011332,0.0011989187628859597,0.0009443333333333334,0.0011678821287555807
6,54,0,1,1,0,1,0,0,0,0,3.899999999999997e-05,0.020889126941617552,0.0007169999999999999,0.001001241229674448,0.0010104,0.0012884978851360215,0.000815,0.0011196935592681894
6,147,0,1,1,0,1,0,0,1,0,0.038105,977.0512820512828,0.013337,0.021469181726372338,0.0086238,0.016521844606459654,0.00547625,0.013224697509368057
6,296,1,0,1,0,1,0,0,1,0,0.0009259999999999963,0.024301272798845197,0.013023333333333331,0.021725887653519092,0.0082364,0.016712303186574854,0.004970666666666667,0.012463208926676949
6,54,0,1,1,0,1,0,0,0,0,4.799999999999943e-05,0.05183585313174906,0.013026333333333332,0.021723198713203665,0.008197,0.0167360686094435,0.0044784,0.011853091469223451
6,412,0,1,1,0,1,0,0,1,0,0.001801000000000004,37.52083333333386,0.0009249999999999999,0.0008765004278378489,0.0081838,0.016742334177168965,0.0046585,0.0117910042947061
6,60,1,0,1,0,1,0,0,0,0,0.044424000000000005,24.666296501943314,0.015424333333333337,0.02512973840558897,0.0170608,0.02221616359095332,0.009035600000000001,0.017077961615290432
6,1514,1,0,1,0,1,0,0,0,0,0.034010999999999986,0.765599675850891,0.026745333333333333,0.022220991569534724,0.016242,0.021303347495170797,0.0124329,0.018415899781619866
6,1514,1,0,1,0,1,0,0,0,0,0.0,0.0,0.026145,0.02323313175187538,0.0160568,0.021473132461287518,0.012146599999999999,0.018602516623056977
6,1514,1,0,1,0,1,0,0,0,0,0.0,1.0,0.011336999999999995,0.01963626000540835,0.0160472,0.021482087647619347,0.0121221,0.018620086015137285
