frame.time_relative,ip.proto,frame.len,tcp.flags,src_ip,dst_ip,c2_label
0.000000000,6,66,2,0,1,1
0.000653000,6,66,18,1,0,1
0.000691000,6,54,16,0,1,1
0.003554000,6,212,24,0,1,1
0.003799000,6,60,16,1,0,1
0.005666000,6,1499,24,1,0,1
0.005705000,6,54,16,0,1,1
0.043810000,6,147,24,0,1,1
0.044736000,6,296,24,1,0,1
0.044784000,6,54,16,0,1,1
0.046585000,6,412,24,0,1,1
0.091009000,6,60,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,24,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,16,1,0,1
0.125020000,6,1514,24,1,0,1
0.125125000,6,54,16,0,1,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,24,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,16,1,0,1
0.125430000,6,1514,24,1,0,1
0.125516000,6,54,16,0,1,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
0.125843000,6,1514,16,1,0,1
