ip.proto,frame.len,tcp.flags,inter_packet_time,is_external
6,66,2,0.0,1
6,66,18,0.000653,0
6,54,16,3.799999999999995e-05,1
6,212,24,0.002863,1
6,60,16,0.000245,0
6,1499,24,0.0018670000000000002,0
6,54,16,3.899999999999997e-05,1
6,147,24,0.038105,1
6,296,24,0.0009259999999999963,0
6,54,16,4.799999999999943e-05,1
6,412,24,0.001801000000000004,1
6,60,16,0.044424000000000005,0
6,1514,16,0.034010999999999986,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,54,16,0.00010499999999999399,1
6,1514,16,0.00030500000000002747,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,54,16,8.599999999997499e-05,1
6,1514,16,0.0003270000000000217,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,712,24,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,54,16,0.00018799999999999373,1
6,54,16,0.0005330000000000057,1
6,1514,16,0.0003439999999999832,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,54,16,0.00019299999999999873,1
6,54,16,0.00011400000000000299,1
6,1514,16,0.0036670000000000036,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1370,24,0.0,0
6,54,16,7.199999999998874e-05,1
6,85,25,0.00011500000000000399,0
6,54,16,1.7000000000017e-05,1
6,54,17,0.004285999999999984,1
6,60,16,0.0002520000000000022,0
6,66,2,0.010233999999999993,1
6,66,18,0.00028900000000001147,0
6,54,16,2.8000000000000247e-05,1
6,212,24,0.0004139999999999977,1
6,60,16,0.00022300000000000098,0
6,1499,24,0.0016019999999999923,0
6,147,24,0.0009450000000000014,1
6,296,24,0.0004830000000000112,0
6,383,24,0.0008620000000000017,1
6,201,24,0.0006519999999999859,0
6,383,24,0.0006050000000000222,1
6,201,24,0.0004969999999999974,0
6,383,24,0.022861999999999993,1
6,201,24,0.0008449999999999847,0
6,383,24,0.030587000000000003,1
6,201,24,0.0008720000000000117,0
6,54,16,0.04514199999999999,1
6,383,24,0.0009540000000000104,1
6,201,24,0.0008759999999999879,0
6,54,16,0.045055999999999985,1
6,383,24,0.0010740000000000194,1
6,201,24,0.0008960000000000079,0
6,54,16,0.044899999999999995,1
6,383,24,0.01619100000000001,1
6,201,24,0.0009009999999999851,0
6,54,16,0.04538300000000001,1
6,383,24,0.016541000000000028,1
6,201,24,0.0009679999999999689,0
6,54,16,0.045003000000000015,1
6,383,24,0.031862,1
6,590,24,0.0010670000000000401,0
6,383,24,0.0006209999999999827,1
6,201,24,0.0005450000000000177,0
6,383,24,0.0005159999999999609,1
6,201,24,0.0006420000000000314,0
6,405,24,0.001587000000000005,1
6,480,24,6.199999999989547e-05,1
6,60,16,0.00026100000000006673,0
6,201,24,0.0006269999999999332,0
6,383,24,0.009750000000000036,1
6,331,24,0.0009529999999999816,0
6,383,24,0.0008680000000000909,1
6,201,24,0.0008389999999999231,0
6,405,24,0.0005930000000000657,1
6,227,24,6.499999999998174e-05,1
6,60,16,0.0005720000000000169,0
6,201,24,0.00034599999999995745,0
6,383,24,0.0004750000000000032,1
6,331,24,0.0005119999999999569,0
6,383,24,0.0005010000000000847,1
6,201,24,0.0005349999999999522,0
6,405,24,0.00048599999999998644,1
6,595,24,6.300000000003525e-05,1
6,60,16,0.00025399999999997647,0
6,201,24,0.0006359999999999699,0
6,383,24,0.0004790000000000072,1
6,201,24,0.003997000000000028,0
6,383,24,0.019174000000000024,1
6,201,24,0.0008429999999999271,0
6,383,24,0.03087300000000004,1
6,331,24,0.0008960000000000079,0
6,383,24,0.0006180000000000074,1
6,201,24,0.0006359999999999699,0
6,405,24,0.0005070000000000352,1
6,227,24,5.8000000000002494e-05,1
6,60,16,0.0005089999999999817,0
6,201,24,0.00024599999999996847,0
6,383,24,0.0004650000000000487,1
6,201,24,0.027873999999999954,0
6,383,24,0.014614000000000016,1
6,201,24,0.0011280000000000179,0
6,383,24,0.02991699999999997,1
6,1514,16,0.03322500000000006,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,54,16,7.999999999996898e-05,1
6,1514,16,0.0003389999999999782,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,16,0.0,0
6,1514,24,0.0,0
6,1514,16,0.0,0
